id;name;sample1;sample3;sample4;sample5;sample8;sample9;sample10;sample11;sample12
146;Unknown;12340;12340;12340;12340;12340;12340;12340;12340;12340
147;Unknown;16697;16697;16697;16697;16697;16697;16697;16697;16697
148;Unknown;12868;12868;12868;12868;12868;12868;12868;12868;12868
149;Unknown;13876;13876;13876;13876;13876;13876;13876;13876;13876
150;Unknown;20564;20564;20564;20564;20564;20564;20564;20564;20564
151;Unknown;12339;12339;12339;12339;12339;12339;12339;12339;12339
152;Unknown;18754;18754;18754;18754;18754;18754;18754;18754;18754
153;Unknown;12599;12599;12599;12599;12599;12599;12599;12599;12599
154;Unknown;16688;16688;16688;16688;16688;16688;16688;16688;16688
155;Unknown;12358;12358;12358;12358;12358;12358;12358;12358;12358
156;Unknown;13113;13113;13113;13113;13113;13113;13113;13113;13113
157;Unknown;0;0;0;0;0;0;0;0;0
158;Unknown;0;0;0;0;0;0;0;0;0
159;Unknown;0;0;0;0;0;0;0;0;0
160;Unknown;0;0;0;0;0;0;0;0;0
161;Unknown;0;0;0;0;0;0;0;0;0
162;Unknown;0;0;0;0;0;0;0;0;0
163;Unknown;0;0;0;0;0;0;0;0;0
164;Unknown;514;514;514;770;514;770;4099;4099;4099
165;Unknown;4099;4099;4099;4099;4099;4099;770;4097;4354
166;Unknown;1281;1281;1281;1281;1281;1281;1281;1281;1281
167;Unknown;258;258;258;258;258;258;258;258;258
168;Unknown;0;0;0;0;0;0;0;0;0
169;BatteryVoltage: read32BitUnsigned(Data[169], Data[170]) / 100;31500;31460;31460;31470;31470;31470;32490;31900;32710
170;BatteryVoltage: read32BitUnsigned(Data[169], Data[170]) / 100;0;0;0;0;0;0;0;0;0
171;Unknown;0;0;0;0;0;0;0;0;0
172;Unknown;0;0;0;0;0;0;0;0;0
173;Unknown;0;0;0;0;0;0;0;0;0
174;Unknown;0;0;0;0;0;0;0;0;0
175;Unknown;0;0;0;0;0;0;0;0;0
176;Unknown;0;0;0;0;0;0;0;0;0
177;Unknown;0;0;0;0;0;0;0;0;0
178;Unknown;0;0;0;0;0;0;0;0;0
179;Unknown;0;0;0;0;0;0;0;0;0
180;Unknown;0;0;0;0;0;0;0;0;0
181;Unknown;0;0;0;0;0;0;0;0;0
182;Unknown;0;0;0;0;0;0;0;0;0
183;Unknown;0;0;0;0;0;0;0;0;0
184;Unknown;0;0;0;0;0;0;0;0;0
185;Unknown;0;0;0;0;0;0;0;0;0
186;Unknown;0;0;0;0;0;0;0;0;0
187;Unknown;0;0;0;0;0;0;0;0;0
188;Unknown;0;0;0;0;0;0;0;0;0
189;Unknown;0;0;0;0;0;0;0;0;0
190;Unknown;0;0;0;0;0;0;0;0;0
191;Unknown;0;0;0;0;0;0;0;0;0
192;Unknown;0;0;0;0;0;0;0;0;0
193;Unknown;0;0;0;0;0;0;0;0;0
194;Unknown;0;0;0;0;0;0;0;0;0
195;Unknown;0;0;0;0;0;0;0;0;0
196;Unknown;0;0;0;0;0;0;0;0;0
197;Unknown;0;0;0;0;0;0;0;0;0
198;Unknown;0;0;0;0;0;0;0;0;0
199;Unknown;0;0;0;0;0;0;0;0;0
200;Unknown;0;0;0;0;0;0;0;0;0
201;Unknown;0;0;0;0;0;0;0;0;0
202;Unknown;0;0;0;0;0;0;0;0;0
203;Unknown;0;0;0;0;0;0;0;0;0
204;Unknown;0;0;0;0;0;0;0;0;0
205;Unknown;0;0;0;0;0;0;0;0;0
206;Unknown;0;0;0;0;0;0;0;0;0
207;Unknown;0;0;0;0;0;0;0;0;0
208;Unknown;0;0;0;0;0;0;0;0;0
209;Unknown;0;0;0;0;0;0;0;0;0
210;Unknown;0;0;0;0;0;0;0;0;0
211;Unknown;0;0;0;0;0;0;0;0;0
212;Unknown;0;0;0;0;0;0;0;0;0
213;Unknown;0;0;0;0;0;0;0;0;0
214;Unknown;0;0;0;0;0;0;0;0;0
215;Unknown;0;0;0;0;0;0;0;0;0
216;Unknown;0;0;0;0;0;0;0;0;0
217;Unknown;0;0;0;0;0;0;0;0;0
218;Unknown;0;0;0;0;0;0;0;0;0
219;Unknown;0;0;0;0;0;0;0;0;0
220;Unknown;0;0;0;0;0;0;0;0;0
221;Unknown;0;0;0;0;0;0;0;0;0
222;Unknown;0;0;0;0;0;0;0;0;0
223;Unknown;0;0;0;0;0;0;0;0;0
224;Unknown;0;0;0;0;0;0;0;0;0
225;Unknown;0;0;0;0;0;0;0;0;0
226;Unknown;0;0;0;0;0;0;0;0;0
227;Unknown;0;0;0;0;0;0;0;0;0
228;Unknown;0;0;0;0;0;0;0;0;0
229;Unknown;0;0;0;0;0;0;0;0;0
230;Unknown;0;0;0;0;0;0;0;0;0
231;Unknown;0;0;0;0;0;0;0;0;0
232;Unknown;0;0;0;0;0;0;0;0;0
233;Unknown;0;0;0;0;0;0;0;0;0
234;Unknown;0;0;0;0;0;0;0;0;0
235;Unknown;0;0;0;0;0;0;0;0;0
236;Unknown;0;0;0;0;0;0;0;0;0
237;Unknown;0;0;0;0;0;0;0;0;0
238;Unknown;0;0;0;0;0;0;0;0;0
239;Unknown;0;0;0;0;0;0;0;0;0
240;Unknown;0;0;0;0;0;0;0;0;0
241;Unknown;0;0;0;0;0;0;0;0;0
242;Unknown;0;0;0;0;0;0;0;0;0
243;Unknown;0;0;0;0;0;0;0;0;0
244;Unknown;0;0;0;0;0;0;0;0;0
245;Unknown;0;0;0;0;0;0;0;0;0
246;Unknown;0;0;0;0;0;0;0;0;0
247;Unknown;0;0;0;0;0;0;0;0;0
248;Unknown;0;0;0;0;0;0;0;0;0
249;Unknown;0;0;0;0;0;0;0;0;0
250;Unknown;0;0;0;0;0;0;0;0;0
251;Unknown;0;0;0;0;0;0;0;0;0
252;Unknown;0;0;0;0;0;0;0;0;0
253;Unknown;0;0;0;0;0;0;0;0;0
254;Unknown;0;0;0;0;0;0;0;0;0
255;Unknown;0;0;0;0;0;0;0;0;0
256;Unknown;0;0;0;0;0;0;0;0;0
257;Unknown;0;0;0;0;0;0;0;0;0
258;Unknown;0;0;0;0;0;0;0;0;0
259;Unknown;0;0;0;0;0;0;0;0;0
260;Unknown;0;0;0;0;0;0;0;0;0
261;Unknown;0;0;0;0;0;0;0;0;0
262;Unknown;0;0;0;0;0;0;0;0;0
263;Unknown;0;0;0;0;0;0;0;0;0
264;Unknown;0;0;0;0;0;0;0;0;0
265;Unknown;0;0;0;0;0;0;0;0;0
266;Unknown;0;0;0;0;0;0;0;0;0
267;Unknown;0;0;0;0;0;0;0;0;0
268;Unknown;0;0;0;0;0;0;0;0;0
269;Unknown;0;0;0;0;0;0;0;0;0
270;Unknown;0;0;0;0;0;0;0;0;0
271;Unknown;0;0;0;0;0;0;0;0;0
272;Unknown;0;0;0;0;0;0;0;0;0
273;Unknown;0;0;0;0;0;0;0;0;0
274;Unknown;0;0;0;0;0;0;0;0;0
275;Unknown;0;0;0;0;0;0;0;0;0
276;Unknown;0;0;0;0;0;0;0;0;0
277;Unknown;0;0;0;0;0;0;0;0;0
278;Unknown;0;0;0;0;0;0;0;0;0
279;Unknown;0;0;0;0;0;0;0;0;0
280;Unknown;0;0;0;0;0;0;0;0;0
281;Unknown;0;0;0;0;0;0;0;0;0
282;Unknown;0;0;0;0;0;0;0;0;0
283;Unknown;0;0;0;0;0;0;0;0;0
284;Unknown;0;0;0;0;0;0;0;0;0
285;Unknown;0;0;0;0;0;0;0;0;0
286;Unknown;0;0;0;0;0;0;0;0;0
287;Unknown;0;0;0;0;0;0;0;0;0
288;Unknown;0;0;0;0;0;0;0;0;0
289;Unknown;0;0;0;0;0;0;0;0;0
290;Unknown;0;0;0;0;0;0;0;0;0
291;Unknown;0;0;0;0;0;0;0;0;0
292;Unknown;0;0;0;0;0;0;0;0;0
293;Unknown;0;0;0;0;0;0;0;0;0
294;Unknown;0;0;0;0;0;0;0;0;0
295;Unknown;0;0;0;0;0;0;0;0;0
296;Unknown;0;0;0;0;0;0;0;0;0
297;Unknown;0;0;0;0;0;0;0;0;0
298;Unknown;0;0;0;0;0;0;0;0;0
;;;;;;;;0;0;0
